Pavilion,Module,Item,Sub Item,Requirement,Technical Note,Role Description,Implementation Level,Verified,Urgent,Last Updated,Owner Team,Estimated Resolution Time,Operational Status
SOFA 2026 Pavilion D - Maker Lab,Signal Routing,Operational briefing,Zone marker,Document operational audit evidence,Simulated note: field observation added for audit traceability.,Pavilion coordinator,In Progress,No,Yes,2026-06-15T17:32,Operations Control,51 hours,On Track
SOFA 2026 Pavilion E - Retail Corridor,Electrical Layout,Directional signage,Main aisle,Review sparse hierarchy assignment,Simulated note: verification can proceed after handoff evidence.,Pavilion coordinator,Verified,Yes,No,2026-04-04T08:32,Safety Review,61 hours,Complete
SOFA 2026 Pavilion F - Food Court,Signal Routing,Stand readiness,,Update technical note for field team,Simulated note: pending site confirmation with operations lead.,Implementation tracker,Implemented,Yes,No,2026-05-14T22:38,Venue Logistics,24 hours,Complete
SOFA 2026 Pavilion G - Auditorium,Electrical Layout,Stand readiness,,Resolve urgent requirement before pavilion handoff,Simulated note: no production source connected in this public dataset.,Implementation tracker,Verified,Yes,Yes,2026-04-25T23:45,Technical Production,19 hours,Complete
SOFA 2026 Pavilion A - Immersive Experiences,Furniture Deployment,Emergency corridor clearance,Control point,Review sparse hierarchy assignment,Simulated note: field observation added for audit traceability.,Verification reviewer,In Progress,No,No,2026-05-10T13:22,Safety Review,24 hours,On Track
SOFA 2026 Pavilion B - Artist Alley,,Equipment reception,,Review sparse hierarchy assignment,Simulated note: verification can proceed after handoff evidence.,Operational audit analyst,In Progress,Yes,No,2026-04-13T14:14,Technical Production,25 hours,Complete
SOFA 2026 Pavilion C - Esports Arena,Furniture Deployment,Operational briefing,Main aisle,Document operational audit evidence,Simulated note: no production source connected in this public dataset.,Verification reviewer,Verified,Yes,No,2026-06-08T14:07,Technical Production,36 hours,Complete
SOFA 2026 Pavilion D - Maker Lab,Safety Inspection,Equipment reception,Zone marker,Validate logistics dashboard record consistency,Simulated note: no production source connected in this public dataset.,Verification reviewer,Planned,No,Yes,2026-04-15T05:03,Exhibitor Services,10 hours,At Risk
SOFA 2026 Pavilion E - Retail Corridor,Signal Routing,Stand readiness,Back wall,Confirm implementation tracking milestone,Simulated note: verification can proceed after handoff evidence.,Pavilion coordinator,Planned,No,Yes,2026-05-03T21:00,Operations Control,46 hours,At Risk
SOFA 2026 Pavilion F - Food Court,Signal Routing,Equipment reception,Storage corner,Validate logistics dashboard record consistency,Simulated note: verification can proceed after handoff evidence.,Logistics support team,Implemented,No,No,2026-05-12T03:13,Venue Logistics,34 hours,Complete
SOFA 2026 Pavilion G - Auditorium,Signal Routing,Stand readiness,Main aisle,Validate logistics dashboard record consistency,Simulated note: verification can proceed after handoff evidence.,Operational audit analyst,Verified,Yes,No,2026-05-26T08:18,Exhibitor Services,4 hours,Complete
SOFA 2026 Pavilion A - Immersive Experiences,Queue Management,Equipment reception,Secondary aisle,Check verification workflow status,Simulated note: pending site confirmation with operations lead.,Operational audit analyst,Planned,Yes,No,2026-04-16T11:02,Technical Production,18 hours,Complete
SOFA 2026 Pavilion B - Artist Alley,,Floor plan validation,Public-facing desk,Update technical note for field team,Simulated note: verification can proceed after handoff evidence.,Implementation tracker,In Progress,No,No,2026-04-17T13:34,Infrastructure,4 hours,On Track
SOFA 2026 Pavilion C - Esports Arena,Signal Routing,Equipment reception,,Check verification workflow status,Simulated note: verification can proceed after handoff evidence.,Field operations lead,In Progress,No,No,2026-06-15T10:53,Technical Production,42 hours,On Track
SOFA 2026 Pavilion D - Maker Lab,Signal Routing,Stand readiness,Storage corner,Align role description with owner team,Simulated note: dependency requires module-level review.,Logistics support team,Implemented,No,Yes,2026-06-05T12:59,Exhibitor Services,45 hours,On Track
SOFA 2026 Pavilion E - Retail Corridor,Signal Routing,Floor plan validation,Storage corner,Resolve urgent requirement before pavilion handoff,Simulated note: field observation added for audit traceability.,Pavilion coordinator,In Progress,No,No,2026-06-14T17:12,Exhibitor Services,68 hours,At Risk
SOFA 2026 Pavilion F - Food Court,Queue Management,Power drop mapping,,Document operational audit evidence,Simulated note: no production source connected in this public dataset.,Verification reviewer,Implemented,No,Yes,2026-05-04T12:45,Technical Production,7 hours,At Risk
SOFA 2026 Pavilion G - Auditorium,Safety Inspection,Table and chair setup,Storage corner,Align role description with owner team,Simulated note: no production source connected in this public dataset.,Verification reviewer,In Progress,No,No,2026-06-05T11:05,Exhibitor Services,7 hours,Pending Verification
SOFA 2026 Pavilion A - Immersive Experiences,Branding Installation,Directional signage,Back wall,Confirm implementation tracking milestone,Simulated note: no production source connected in this public dataset.,Field operations lead,Implemented,No,No,2026-05-07T19:08,Safety Review,56 hours,On Track
SOFA 2026 Pavilion B - Artist Alley,Queue Management,Directional signage,,Align role description with owner team,Simulated note: pending site confirmation with operations lead.,Verification reviewer,Planned,No,Yes,2026-04-21T08:56,Exhibitor Services,29 hours,At Risk
SOFA 2026 Pavilion C - Esports Arena,Branding Installation,Power drop mapping,Main aisle,Validate logistics dashboard record consistency,Simulated note: verification can proceed after handoff evidence.,Operational audit analyst,Implemented,No,Yes,2026-04-15T07:04,Safety Review,17 hours,On Track
SOFA 2026 Pavilion D - Maker Lab,Branding Installation,Cable protection,,Review sparse hierarchy assignment,Simulated note: verification can proceed after handoff evidence.,Verification reviewer,Planned,No,No,2026-05-15T10:04,Venue Logistics,30 hours,Complete
SOFA 2026 Pavilion E - Retail Corridor,Safety Inspection,Table and chair setup,Control point,Document operational audit evidence,Simulated note: verification can proceed after handoff evidence.,Verification reviewer,In Progress,No,No,2026-06-03T20:20,Safety Review,50 hours,Complete
SOFA 2026 Pavilion F - Food Court,Safety Inspection,Table and chair setup,Control point,Check verification workflow status,Simulated note: dependency requires module-level review.,Logistics support team,In Progress,No,No,2026-05-13T11:20,Venue Logistics,36 hours,At Risk
SOFA 2026 Pavilion G - Auditorium,Safety Inspection,Directional signage,Storage corner,Confirm implementation tracking milestone,Simulated note: no production source connected in this public dataset.,Field operations lead,Verified,Yes,No,2026-05-09T02:29,Exhibitor Services,54 hours,Complete
SOFA 2026 Pavilion A - Immersive Experiences,Branding Installation,Power drop mapping,Secondary aisle,Confirm implementation tracking milestone,Simulated note: field observation added for audit traceability.,Field operations lead,Implemented,No,No,2026-06-10T00:13,Infrastructure,3 hours,Complete
SOFA 2026 Pavilion B - Artist Alley,,Credential checkpoint,Back wall,Validate logistics dashboard record consistency,Simulated note: verification can proceed after handoff evidence.,Verification reviewer,Implemented,Yes,No,2026-05-31T23:21,Operations Control,28 hours,Complete
SOFA 2026 Pavilion C - Esports Arena,Branding Installation,Credential checkpoint,Back wall,Review sparse hierarchy assignment,Simulated note: dependency requires module-level review.,Logistics support team,Planned,No,Yes,2026-06-08T08:06,Venue Logistics,23 hours,Pending Verification
SOFA 2026 Pavilion D - Maker Lab,Inventory Handoff,Cable protection,Storage corner,Confirm implementation tracking milestone,Simulated note: dependency requires module-level review.,Logistics support team,Not Started,No,No,2026-04-18T11:01,Venue Logistics,67 hours,Blocked
SOFA 2026 Pavilion E - Retail Corridor,Queue Management,Credential checkpoint,Main aisle,Confirm implementation tracking milestone,Simulated note: field observation added for audit traceability.,Implementation tracker,Implemented,No,No,2026-05-03T23:56,Operations Control,63 hours,Blocked
SOFA 2026 Pavilion F - Food Court,Branding Installation,Emergency corridor clearance,,Update technical note for field team,Simulated note: pending site confirmation with operations lead.,Field operations lead,Verified,Yes,No,2026-06-06T07:25,Venue Logistics,67 hours,Complete
SOFA 2026 Pavilion G - Auditorium,Inventory Handoff,Operational briefing,Secondary aisle,Align role description with owner team,Simulated note: verification can proceed after handoff evidence.,Implementation tracker,Implemented,No,No,2026-06-06T00:38,Operations Control,24 hours,On Track
SOFA 2026 Pavilion A - Immersive Experiences,Inventory Handoff,Stand readiness,Storage corner,Resolve urgent requirement before pavilion handoff,Simulated note: no production source connected in this public dataset.,Implementation tracker,In Progress,No,Yes,2026-04-28T08:29,Exhibitor Services,64 hours,Blocked
SOFA 2026 Pavilion B - Artist Alley,Branding Installation,Stand readiness,Zone marker,Resolve urgent requirement before pavilion handoff,Simulated note: dependency requires module-level review.,Implementation tracker,Implemented,No,No,2026-06-09T03:46,Venue Logistics,9 hours,Pending Verification
SOFA 2026 Pavilion C - Esports Arena,Access Control,Cable protection,Zone marker,Resolve urgent requirement before pavilion handoff,Simulated note: pending site confirmation with operations lead.,Implementation tracker,In Progress,No,No,2026-06-10T06:22,Venue Logistics,21 hours,On Track
SOFA 2026 Pavilion D - Maker Lab,Inventory Handoff,Equipment reception,Storage corner,Resolve urgent requirement before pavilion handoff,Simulated note: verification can proceed after handoff evidence.,Implementation tracker,In Progress,No,Yes,2026-05-18T01:05,Venue Logistics,67 hours,On Track
SOFA 2026 Pavilion E - Retail Corridor,,Stand readiness,Public-facing desk,Document operational audit evidence,Simulated note: pending site confirmation with operations lead.,Operational audit analyst,Not Started,Yes,No,2026-05-03T18:48,Venue Logistics,57 hours,Complete
SOFA 2026 Pavilion F - Food Court,Branding Installation,Credential checkpoint,Secondary aisle,Document operational audit evidence,Simulated note: verification can proceed after handoff evidence.,Field operations lead,Planned,No,No,2026-06-08T21:46,Venue Logistics,58 hours,At Risk
SOFA 2026 Pavilion G - Auditorium,Access Control,Floor plan validation,Zone marker,Validate logistics dashboard record consistency,Simulated note: dependency requires module-level review.,Implementation tracker,In Progress,No,Yes,2026-04-11T19:45,Venue Logistics,57 hours,On Track
SOFA 2026 Pavilion A - Immersive Experiences,Inventory Handoff,Equipment reception,,Review sparse hierarchy assignment,Simulated note: no production source connected in this public dataset.,Operational audit analyst,Not Started,No,No,2026-05-05T17:47,Exhibitor Services,47 hours,Complete
SOFA 2026 Pavilion B - Artist Alley,Access Control,Operational briefing,Public-facing desk,Align role description with owner team,Simulated note: verification can proceed after handoff evidence.,Field operations lead,Planned,Yes,No,2026-05-20T03:40,Operations Control,61 hours,Complete
SOFA 2026 Pavilion C - Esports Arena,Access Control,Equipment reception,,Validate logistics dashboard record consistency,Simulated note: no production source connected in this public dataset.,Operational audit analyst,In Progress,No,No,2026-05-06T17:02,Technical Production,15 hours,Complete
SOFA 2026 Pavilion D - Maker Lab,,Power drop mapping,Storage corner,Validate logistics dashboard record consistency,Simulated note: dependency requires module-level review.,Logistics support team,Verified,Yes,No,2026-04-20T18:08,Exhibitor Services,4 hours,Complete
SOFA 2026 Pavilion E - Retail Corridor,Inventory Handoff,Operational briefing,Control point,Document operational audit evidence,Simulated note: verification can proceed after handoff evidence.,Field operations lead,Implemented,No,No,2026-05-14T06:09,Safety Review,33 hours,Complete
SOFA 2026 Pavilion F - Food Court,Access Control,Equipment reception,Control point,Update technical note for field team,Simulated note: field observation added for audit traceability.,Logistics support team,In Progress,No,No,2026-04-24T22:12,Operations Control,65 hours,At Risk
SOFA 2026 Pavilion G - Auditorium,Inventory Handoff,Power drop mapping,,Align role description with owner team,Simulated note: no production source connected in this public dataset.,Logistics support team,Implemented,No,No,2026-06-06T18:17,Infrastructure,69 hours,On Track
SOFA 2026 Pavilion A - Immersive Experiences,Access Control,Table and chair setup,Storage corner,Update technical note for field team,Simulated note: pending site confirmation with operations lead.,Implementation tracker,In Progress,No,Yes,2026-05-22T11:51,Infrastructure,8 hours,On Track
SOFA 2026 Pavilion B - Artist Alley,Electrical Layout,Floor plan validation,Public-facing desk,Validate logistics dashboard record consistency,Simulated note: field observation added for audit traceability.,Logistics support team,In Progress,No,Yes,2026-04-05T14:45,Venue Logistics,6 hours,On Track
SOFA 2026 Pavilion C - Esports Arena,Electrical Layout,Table and chair setup,,Check verification workflow status,Simulated note: pending site confirmation with operations lead.,Implementation tracker,Verified,Yes,No,2026-04-26T04:41,Venue Logistics,10 hours,Complete
SOFA 2026 Pavilion D - Maker Lab,Electrical Layout,Floor plan validation,Public-facing desk,Document operational audit evidence,Simulated note: field observation added for audit traceability.,Pavilion coordinator,Not Started,No,Yes,2026-04-11T06:46,Technical Production,47 hours,At Risk
SOFA 2026 Pavilion E - Retail Corridor,Access Control,Cable protection,Zone marker,Resolve urgent requirement before pavilion handoff,Simulated note: dependency requires module-level review.,Implementation tracker,In Progress,Yes,Yes,2026-06-11T10:28,Technical Production,27 hours,Complete
SOFA 2026 Pavilion F - Food Court,Furniture Deployment,Table and chair setup,Zone marker,Document operational audit evidence,Simulated note: field observation added for audit traceability.,Field operations lead,In Progress,No,No,2026-04-03T19:04,Infrastructure,43 hours,At Risk
SOFA 2026 Pavilion G - Auditorium,Access Control,Directional signage,Secondary aisle,Align role description with owner team,Simulated note: pending site confirmation with operations lead.,Field operations lead,In Progress,Yes,No,2026-06-04T04:26,Venue Logistics,4 hours,Complete
SOFA 2026 Pavilion A - Immersive Experiences,Signal Routing,Directional signage,Public-facing desk,Confirm implementation tracking milestone,Simulated note: pending site confirmation with operations lead.,Verification reviewer,Planned,No,No,2026-06-14T05:36,Venue Logistics,24 hours,On Track
SOFA 2026 Pavilion B - Artist Alley,Signal Routing,Cable protection,Zone marker,Confirm implementation tracking milestone,Simulated note: no production source connected in this public dataset.,Logistics support team,Implemented,No,No,2026-06-05T05:30,Exhibitor Services,20 hours,Complete
SOFA 2026 Pavilion C - Esports Arena,Furniture Deployment,Directional signage,Back wall,Align role description with owner team,Simulated note: field observation added for audit traceability.,Pavilion coordinator,Not Started,No,No,2026-04-01T22:37,Safety Review,37 hours,At Risk
SOFA 2026 Pavilion D - Maker Lab,Furniture Deployment,Emergency corridor clearance,Zone marker,Validate logistics dashboard record consistency,Simulated note: no production source connected in this public dataset.,Logistics support team,Implemented,No,No,2026-05-23T23:18,Operations Control,28 hours,Pending Verification
SOFA 2026 Pavilion E - Retail Corridor,Electrical Layout,Cable protection,Storage corner,Resolve urgent requirement before pavilion handoff,Simulated note: no production source connected in this public dataset.,Verification reviewer,Implemented,No,No,2026-05-12T13:51,Venue Logistics,70 hours,Complete
SOFA 2026 Pavilion F - Food Court,Furniture Deployment,Directional signage,Back wall,Resolve urgent requirement before pavilion handoff,Simulated note: no production source connected in this public dataset.,Verification reviewer,Implemented,No,No,2026-05-04T19:55,Operations Control,27 hours,Complete
SOFA 2026 Pavilion G - Auditorium,Furniture Deployment,Cable protection,Main aisle,Confirm implementation tracking milestone,Simulated note: no production source connected in this public dataset.,Logistics support team,Verified,Yes,No,2026-05-20T04:31,Exhibitor Services,40 hours,Complete
SOFA 2026 Pavilion A - Immersive Experiences,Signal Routing,Cable protection,Public-facing desk,Align role description with owner team,Simulated note: verification can proceed after handoff evidence.,Operational audit analyst,Verified,Yes,No,2026-06-05T17:51,Technical Production,30 hours,Complete
SOFA 2026 Pavilion B - Artist Alley,Furniture Deployment,Credential checkpoint,,Validate logistics dashboard record consistency,Simulated note: dependency requires module-level review.,Implementation tracker,In Progress,No,No,2026-05-03T01:37,Infrastructure,64 hours,At Risk
SOFA 2026 Pavilion C - Esports Arena,Safety Inspection,Operational briefing,,Document operational audit evidence,Simulated note: field observation added for audit traceability.,Pavilion coordinator,In Progress,No,No,2026-04-05T01:05,Safety Review,46 hours,On Track
SOFA 2026 Pavilion D - Maker Lab,,Stand readiness,,Align role description with owner team,Simulated note: dependency requires module-level review.,Operational audit analyst,Verified,Yes,No,2026-05-12T17:57,Venue Logistics,54 hours,Complete
SOFA 2026 Pavilion E - Retail Corridor,Furniture Deployment,Cable protection,,Align role description with owner team,Simulated note: dependency requires module-level review.,Implementation tracker,Verified,Yes,Yes,2026-06-02T18:38,Safety Review,61 hours,Complete
SOFA 2026 Pavilion F - Food Court,Furniture Deployment,Equipment reception,Control point,Review sparse hierarchy assignment,Simulated note: pending site confirmation with operations lead.,Operational audit analyst,Implemented,No,No,2026-05-30T21:56,Safety Review,46 hours,On Track
SOFA 2026 Pavilion G - Auditorium,Safety Inspection,Emergency corridor clearance,Back wall,Update technical note for field team,Simulated note: pending site confirmation with operations lead.,Verification reviewer,Verified,Yes,No,2026-04-09T16:45,Infrastructure,3 hours,Complete
SOFA 2026 Pavilion A - Immersive Experiences,Signal Routing,Equipment reception,,Update technical note for field team,Simulated note: pending site confirmation with operations lead.,Logistics support team,Implemented,No,No,2026-04-15T06:14,Technical Production,35 hours,At Risk
SOFA 2026 Pavilion B - Artist Alley,Safety Inspection,Equipment reception,,Check verification workflow status,Simulated note: no production source connected in this public dataset.,Operational audit analyst,Verified,Yes,No,2026-06-07T13:33,Exhibitor Services,54 hours,Complete
SOFA 2026 Pavilion C - Esports Arena,Queue Management,Stand readiness,Main aisle,Validate logistics dashboard record consistency,Simulated note: no production source connected in this public dataset.,Implementation tracker,Planned,No,No,2026-05-17T00:19,Operations Control,27 hours,At Risk
SOFA 2026 Pavilion D - Maker Lab,Queue Management,Floor plan validation,Control point,Update technical note for field team,Simulated note: pending site confirmation with operations lead.,Verification reviewer,In Progress,No,No,2026-05-14T20:41,Safety Review,59 hours,Pending Verification
SOFA 2026 Pavilion E - Retail Corridor,Queue Management,Equipment reception,Secondary aisle,Update technical note for field team,Simulated note: field observation added for audit traceability.,Pavilion coordinator,Implemented,No,No,2026-05-15T16:50,Technical Production,4 hours,At Risk
SOFA 2026 Pavilion F - Food Court,Queue Management,Equipment reception,Main aisle,Confirm implementation tracking milestone,Simulated note: dependency requires module-level review.,Implementation tracker,In Progress,No,Yes,2026-05-26T16:24,Operations Control,11 hours,Pending Verification
SOFA 2026 Pavilion G - Auditorium,Signal Routing,Stand readiness,Public-facing desk,Confirm implementation tracking milestone,Simulated note: verification can proceed after handoff evidence.,Implementation tracker,Not Started,No,No,2026-05-29T11:43,Operations Control,55 hours,Blocked
SOFA 2026 Pavilion A - Immersive Experiences,Safety Inspection,Stand readiness,Zone marker,Review sparse hierarchy assignment,Simulated note: no production source connected in this public dataset.,Field operations lead,Implemented,Yes,Yes,2026-06-16T07:46,Operations Control,38 hours,Complete
SOFA 2026 Pavilion B - Artist Alley,Queue Management,Floor plan validation,Public-facing desk,Resolve urgent requirement before pavilion handoff,Simulated note: no production source connected in this public dataset.,Operational audit analyst,In Progress,No,No,2026-05-24T17:09,Venue Logistics,8 hours,Complete
SOFA 2026 Pavilion C - Esports Arena,Safety Inspection,Power drop mapping,,Resolve urgent requirement before pavilion handoff,Simulated note: field observation added for audit traceability.,Implementation tracker,Verified,Yes,No,2026-04-19T08:18,Exhibitor Services,61 hours,Complete
SOFA 2026 Pavilion D - Maker Lab,Branding Installation,Directional signage,,Align role description with owner team,Simulated note: field observation added for audit traceability.,Pavilion coordinator,Planned,No,No,2026-04-04T11:12,Operations Control,48 hours,Pending Verification
SOFA 2026 Pavilion E - Retail Corridor,Branding Installation,Equipment reception,,Document operational audit evidence,Simulated note: field observation added for audit traceability.,Logistics support team,Planned,No,No,2026-06-09T01:07,Exhibitor Services,19 hours,On Track
SOFA 2026 Pavilion F - Food Court,Safety Inspection,Floor plan validation,Zone marker,Align role description with owner team,Simulated note: field observation added for audit traceability.,Pavilion coordinator,Planned,No,Yes,2026-05-31T19:12,Venue Logistics,19 hours,On Track
SOFA 2026 Pavilion G - Auditorium,Branding Installation,Table and chair setup,,Check verification workflow status,Simulated note: dependency requires module-level review.,Verification reviewer,Implemented,No,Yes,2026-04-30T07:17,Safety Review,52 hours,Blocked
SOFA 2026 Pavilion A - Immersive Experiences,Inventory Handoff,Floor plan validation,Zone marker,Confirm implementation tracking milestone,Simulated note: pending site confirmation with operations lead.,Verification reviewer,Planned,Yes,No,2026-04-10T23:20,Safety Review,13 hours,Complete
SOFA 2026 Pavilion B - Artist Alley,Queue Management,Power drop mapping,,Check verification workflow status,Simulated note: field observation added for audit traceability.,Logistics support team,Verified,Yes,Yes,2026-04-26T08:40,Safety Review,44 hours,Complete
SOFA 2026 Pavilion C - Esports Arena,Inventory Handoff,Emergency corridor clearance,Secondary aisle,Align role description with owner team,Simulated note: dependency requires module-level review.,Logistics support team,Planned,No,No,2026-06-03T06:27,Exhibitor Services,69 hours,Pending Verification
SOFA 2026 Pavilion D - Maker Lab,Branding Installation,Cable protection,,Confirm implementation tracking milestone,Simulated note: field observation added for audit traceability.,Implementation tracker,In Progress,No,No,2026-04-03T21:29,Venue Logistics,62 hours,Complete
SOFA 2026 Pavilion E - Retail Corridor,Branding Installation,Power drop mapping,Back wall,Check verification workflow status,Simulated note: dependency requires module-level review.,Operational audit analyst,Implemented,No,No,2026-04-16T15:27,Venue Logistics,3 hours,On Track
SOFA 2026 Pavilion F - Food Court,Queue Management,Table and chair setup,Zone marker,Check verification workflow status,Simulated note: field observation added for audit traceability.,Verification reviewer,Implemented,No,No,2026-04-17T14:44,Safety Review,57 hours,At Risk
SOFA 2026 Pavilion G - Auditorium,Inventory Handoff,Emergency corridor clearance,Control point,Check verification workflow status,Simulated note: verification can proceed after handoff evidence.,Field operations lead,Planned,No,No,2026-06-10T07:38,Infrastructure,44 hours,Complete
SOFA 2026 Pavilion A - Immersive Experiences,Access Control,Table and chair setup,Back wall,Check verification workflow status,Simulated note: no production source connected in this public dataset.,Operational audit analyst,Verified,Yes,No,2026-05-29T13:14,Safety Review,60 hours,Complete
SOFA 2026 Pavilion B - Artist Alley,Branding Installation,Emergency corridor clearance,Control point,Align role description with owner team,Simulated note: pending site confirmation with operations lead.,Operational audit analyst,Verified,Yes,No,2026-04-13T04:02,Technical Production,67 hours,Complete
SOFA 2026 Pavilion C - Esports Arena,Inventory Handoff,Emergency corridor clearance,Secondary aisle,Align role description with owner team,Simulated note: dependency requires module-level review.,Verification reviewer,In Progress,Yes,No,2026-04-09T00:55,Technical Production,36 hours,Complete
SOFA 2026 Pavilion D - Maker Lab,Branding Installation,Emergency corridor clearance,,Resolve urgent requirement before pavilion handoff,Simulated note: verification can proceed after handoff evidence.,Verification reviewer,Verified,Yes,No,2026-06-01T16:29,Safety Review,3 hours,Complete
SOFA 2026 Pavilion E - Retail Corridor,Branding Installation,Operational briefing,,Validate logistics dashboard record consistency,Simulated note: pending site confirmation with operations lead.,Pavilion coordinator,Verified,Yes,No,2026-06-12T06:00,Venue Logistics,7 hours,Complete
SOFA 2026 Pavilion F - Food Court,Access Control,Credential checkpoint,Back wall,Resolve urgent requirement before pavilion handoff,Simulated note: field observation added for audit traceability.,Implementation tracker,Implemented,Yes,No,2026-06-15T11:28,Infrastructure,6 hours,Complete
SOFA 2026 Pavilion G - Auditorium,Inventory Handoff,Operational briefing,,Update technical note for field team,Simulated note: field observation added for audit traceability.,Pavilion coordinator,Not Started,Yes,No,2026-05-29T06:33,Operations Control,41 hours,Complete
SOFA 2026 Pavilion A - Immersive Experiences,Access Control,Credential checkpoint,,Document operational audit evidence,Simulated note: pending site confirmation with operations lead.,Pavilion coordinator,In Progress,Yes,Yes,2026-05-01T09:03,Exhibitor Services,23 hours,Complete
SOFA 2026 Pavilion B - Artist Alley,Access Control,Credential checkpoint,Back wall,Confirm implementation tracking milestone,Simulated note: pending site confirmation with operations lead.,Implementation tracker,Implemented,No,No,2026-05-14T19:11,Safety Review,58 hours,At Risk
SOFA 2026 Pavilion C - Esports Arena,Inventory Handoff,Equipment reception,Control point,Resolve urgent requirement before pavilion handoff,Simulated note: no production source connected in this public dataset.,Field operations lead,Implemented,No,No,2026-05-28T23:01,Technical Production,23 hours,Complete
SOFA 2026 Pavilion D - Maker Lab,Inventory Handoff,Floor plan validation,Zone marker,Review sparse hierarchy assignment,Simulated note: pending site confirmation with operations lead.,Logistics support team,Verified,Yes,Yes,2026-04-25T14:31,Safety Review,17 hours,Complete
SOFA 2026 Pavilion E - Retail Corridor,Access Control,Floor plan validation,Storage corner,Review sparse hierarchy assignment,Simulated note: verification can proceed after handoff evidence.,Verification reviewer,Verified,Yes,Yes,2026-04-14T17:31,Exhibitor Services,71 hours,Complete
SOFA 2026 Pavilion F - Food Court,Access Control,Credential checkpoint,Public-facing desk,Resolve urgent requirement before pavilion handoff,Simulated note: verification can proceed after handoff evidence.,Logistics support team,In Progress,No,No,2026-05-21T23:26,Safety Review,27 hours,On Track
SOFA 2026 Pavilion G - Auditorium,Access Control,Power drop mapping,Storage corner,Update technical note for field team,Simulated note: dependency requires module-level review.,Logistics support team,Implemented,Yes,Yes,2026-04-21T20:16,Infrastructure,5 hours,Complete
SOFA 2026 Pavilion A - Immersive Experiences,Furniture Deployment,Power drop mapping,Zone marker,Confirm implementation tracking milestone,Simulated note: verification can proceed after handoff evidence.,Implementation tracker,Implemented,Yes,No,2026-04-19T06:46,Safety Review,22 hours,Complete
SOFA 2026 Pavilion B - Artist Alley,Furniture Deployment,Stand readiness,,Review sparse hierarchy assignment,Simulated note: pending site confirmation with operations lead.,Verification reviewer,Verified,Yes,No,2026-05-17T09:24,Operations Control,42 hours,Complete
SOFA 2026 Pavilion C - Esports Arena,Access Control,Power drop mapping,Zone marker,Update technical note for field team,Simulated note: no production source connected in this public dataset.,Verification reviewer,Verified,Yes,Yes,2026-05-01T07:40,Venue Logistics,57 hours,Complete
SOFA 2026 Pavilion D - Maker Lab,Furniture Deployment,Equipment reception,Public-facing desk,Resolve urgent requirement before pavilion handoff,Simulated note: pending site confirmation with operations lead.,Field operations lead,Verified,Yes,No,2026-04-18T22:25,Technical Production,53 hours,Complete
